IYEAR,IMONTH,IDAY,AVG_DAILY_TEMP_F
2011,12,6,3.0250000000000004
2011,12,7,23.25
2011,12,8,12.825
2011,12,9,2.769014084507042
2011,12,10,10.785714285714286
2011,12,11,27.32537313432836
2011,12,12,27.15
2011,12,13,24.65
2011,12,14,33.325
2011,12,15,26.1
2011,12,16,11.075
2011,12,17,12.935211267605634
2011,12,18,26.255882352941175
2011,12,19,24.698591549295774
2011,12,20,21.875
2011,12,21,28.049999999999997
2011,12,22,17.725
2011,12,23,21.25
2011,12,24,23.182608695652174
2011,12,25,29.540845070422538
2011,12,26,33.67142857142857
2011,12,27,19.674999999999997
2011,12,28,8.675
2011,12,29,20.025
2011,12,30,17.034285714285716
2011,12,31,17.067605633802817
2012,1,1,22.366666666666667
2012,1,2,9.85
2012,1,3,3.4499999999999997
2012,1,4,21.071428571428573
2012,1,5,28.191304347826087
2012,1,6,36.5
2012,1,7,22.163380281690138
2012,1,8,25.549999999999997
2012,1,9,34.175
2012,1,10,31.061971830985918
2012,1,11,24.546478873239437
2012,1,12,4.449999999999999
2012,1,13,4.275
2012,1,14,4.55
2012,1,15,18.63943661971831
2012,1,16,18.620895522388057
2012,1,17,2.9000000000000004
2012,1,18,-6.6
2012,1,19,-12.850000000000001
2012,1,20,-7.25
2012,1,21,-5.575
2012,1,22,18.225
2012,1,23,18.700000000000003
2012,1,24,16.408450704225352
2012,1,25,21.4
2012,1,26,29.049999999999997
2012,1,27,19.65
2012,1,28,17.375
2012,1,29,3.5999999999999996
2012,1,30,11.997183098591549
2012,1,31,24.98
2012,2,1,27.866666666666667
2012,2,2,29.450000000000003
2012,2,3,28.674999999999997
2012,2,4,22.525
2012,2,5,25.700000000000003
2012,2,6,26.00857142857143
2012,2,7,7.6499999999999995
2012,2,8,12.25
2012,2,9,20.3
2012,2,10,1.1749999999999998
2012,2,11,-1.8499999999999999
2012,2,12,8.149999999999999
2012,2,13,15.0
2012,2,14,26.75
2012,2,15,25.65
2012,2,16,28.525000000000002
2012,2,17,23.6
2012,2,18,38.672222222222224
2012,2,19,22.525
2012,2,20,31.485714285714284
2012,2,21,29.875
2012,2,22,22.075000000000003
2012,2,23,21.200000000000003
2012,2,24,18.424999999999997
2012,2,25,13.725
2012,2,26,18.875
2012,2,27,15.698591549295774
2012,2,28,22.163380281690138
2012,2,29,28.577464788732396
2012,3,1,28.8
2012,3,2,30.974999999999998
2012,3,3,23.2
2012,3,4,9.100000000000001
2012,3,5,9.75
2012,3,6,32.02571428571429
2012,3,7,32.05
2012,3,8,20.174999999999997
2012,3,9,12.649999999999999
2012,3,10,34.54117647058824
2012,3,11,43.80285714285714
2012,3,12,43.525000000000006
2012,3,13,41.675
2012,3,14,50.68450704225352
2012,3,15,39.42816901408451
2012,3,16,48.025000000000006
2012,3,17,59.824999999999996
2012,3,18,64.42500000000001
2012,3,19,65.875
2012,3,20,59.18
2012,3,21,94.30952380952381
2012,3,22,49.599999999999994
2012,3,23,52.025000000000006
2012,3,24,51.625
2012,3,25,32.12676056338028
2012,3,26,30.849999999999998
2012,3,27,43.5
2012,3,28,37.0
2012,3,29,32.650000000000006
2012,3,30,32.63380281690141
2012,3,31,37.32394366197183
2012,4,1,47.333333333333336
2012,4,2,42.5
2012,4,3,45.563380281690144
2012,4,4,40.724999999999994
2012,4,5,41.22816901408451
2012,4,6,42.724999999999994
2012,4,7,44.025000000000006
2012,4,8,39.925
2012,4,9,32.73521126760563
2012,4,10,27.325000000000003
2012,4,11,35.2
2012,4,12,41.150000000000006
2012,4,13,46.2
2012,4,14,47.825
2012,4,15,42.7
2012,4,16,54.188571428571436
2012,4,17,28.42608695652174
2012,4,18,37.55
2012,4,19,35.5
2012,4,20,38.575
2012,4,21,35.5
2012,4,22,35.2
2012,4,23,43.150000000000006
2012,4,24,49.875
2012,4,25,46.925
2012,4,26,39.17391304347826
2012,4,27,39.0
2012,4,28,45.025000000000006
2012,4,29,46.17183098591549
2012,4,30,50.076056338028174
2012,5,1,52.03333333333334
2012,5,2,60.75
2012,5,3,59.41142857142857
2012,5,4,49.925
2012,5,5,49.3
2012,5,6,50.099999999999994
2012,5,7,51.724999999999994
2012,5,8,49.011267605633805
